"","scope 1 emissions","scope 2 emissions","total emissions","emissions quality flag","s1 lower bound","s1 upper bound","s1 mean","tot lower bound","tot upper bound","tot mean","co2 emissions per capita","latitude","longitude","region","population","city area km","average annual temperature celcius","gdp-ppp per capita","ngdp","ngdp per capita","energy per person co2","center of commerce index","urbanization ratio","mean one-way travel time","average diesel price","average gasoline price","household size","congestion rank","economy rank","environment rank","governance rank","human capital rank","international impact rank","mobility and transportation rank","public management rank","social cohesion rank","technology rank","urban planning rank","CIMI","CIMI Ranking","exports","production","natgas exports","C4H waste per capita","C4H waste plus natgas per capita","corrected C4H waste plus natgas per capita"
"58",NA,NA,2128000,"D",NA,NA,NA,NA,NA,NA,NA,51.483,-3.183333,"Europe",361468,140.9,9.7,29674,20.72175,31470.4511041824,NA,NA,79.007,NA,1.99,1.92,2.32,313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.055e+10,4.099e+10,0.26,0.0181362582,0.0260463068,0.0240104197
"59",565382,266221,831603,"A",NA,NA,NA,NA,NA,NA,NA,38.7,-9.416667,"Europe",206479,97.4,17,NA,NA,NA,NA,NA,NA,30.0861860671899,1.64,1.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0.0311275785,0.0361368851,0.0361368851
"60",5029058.46744,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.18104,43.8869444444,125.324722222,"East Asia",4193073,4738,NA,NA,35,8955.9877175,NA,NA,42.522,NA,1.09,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",3955711.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83,28.1961111111,112.972222222,"East Asia",5288800,1917,NA,NA,40.3,13025.210084,NA,NA,42.522,NA,1.09,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",4131838.87751,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4242956244,31.7833333333,119.966666667,"East Asia",3290918,1872.1,NA,NA,34,10331.2063203,NA,NA,NA,NA,1.09,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",9975976.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08,30.6586111111,104.064722222,"East Asia",10152632,3679.9,NA,NA,57.8,7528.98267552,NA,NA,NA,NA,1.09,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",16951471,12967223,29918694,"B",14234702.5717078,15603245.9716958,14918974.2717018,27201925.5717078,28570468.9716958,27886197.2717018,NA,41.837,-87.684722,"North America",2704958,589.5594237,9.4,58861,496.4,52351.8245095971,NA,65.24,80.731,30.95,0.97,0.86,2.57,19,8,118,7,8,44,16,11,121,10,35,82.55,12,4.287e+10,7.662e+11,0.06,0.0176989817,0.0367294791,0.0356646952
"65",9485242.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88,29.5583333333,106.566666667,"East Asia",8165500,472.8,NA,NA,88.6,5645.82935067,NA,33.13,42.522,NA,1.09,1.17,NA,NA,143,176,109,162,81,119,174,143,56,93,44.33,157,NA,NA,NA,NA,NA,NA
"66",7750563,4139032,11889595,"A",7354298.99127794,7553912.80014801,7454105.89571297,11493330.9912779,11692944.800148,11593137.895713,NA,41.482,-81.669722,"North America",385809,201.242223,10.4,55876,98,47183.4376504574,NA,NA,NA,24.2,0.97,0.86,2.26,405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.287e+10,7.662e+11,0.06,0.0176989817,0.0367294791,0.0356646952
"67",269372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.931233,76.267304,"South Asia",601574,94.88,NA,NA,7,3455083.90918065,NA,NA,NA,NA,0.91,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
